logeventid	logeventdesc	logstr1desc	logstr2desc	logstr3desc	logint64desc	logint32desc	logstr4desc	loguint32desc	logcls	logstate
146	更改公会职位名称失败金币返还	玩家UUID			值				1	0
147	公会捐赠金币失败返还	玩家UUID			值				1	0
148	公会捐赠钻石失败返回	玩家UUID			值				4	0
149	副本摇奖给予经验	玩家UUID			值	地图ID			16	0
150	成就给予经验	玩家UUID			值				16	0
151	成就添加金币	玩家UUID			值				1	0
152	成就添加银币	玩家UUID			值				2	0
153	大合成金币扣除	玩家UUID			值				1	0
154	挂机获取经验	玩家UUID			值				16	0
155	祝福设置消耗金币	玩家UUID			值				1	0
156	购买活星座点	玩家UUID			值				1	0
157	坐骑转生消耗金币	玩家UUID			值				513	0
158	坐骑驯养消耗金币	玩家UUID			值				513	0
159	商店扣除玩家物品	玩家UUID	玩家UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
160	坐骑驯养扣除物品	玩家UUID	玩家UUID			数量	'%d,%d,%d,%d' 物品ID		520	0
161	坐骑转生扣除物品	玩家UUID	玩家UUID			数量	'%d,%d,%d,%d' 物品ID		520	0
162	通用粉钻获取	玩家UUID			值				128	0
163	升级有礼物品获取	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
166	充值有礼物品获取	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
167	VIP领取奖励	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
168	为好友充能奖励银币	玩家UUID			值				2	0
169	敛财奖励粉钻	玩家UUID			值				128	0
170	随机任务扣钻石	玩家UUID			值				4	0
171	副本耗用	玩家UUID			值				8256	0
172	会员奖励	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
173	成就给予	玩家UUID	物品UUID		数量	是否叠加删除	'%d,%d,%d,%d' 		8	0
174	卖钻石扣税（金币）	玩家UUID			值				1	0
175	卖钻石失败扣税返还（金币）	玩家UUID			值				5	0
176	钻石买金币成功	玩家UUID			值				5	0
177	金币买钻石成功	玩家UUID			值				5	0
179	金币买钻石	玩家UUID			值				1	0
180	金币买钻石失败返还	玩家UUID			值				1	0
181	启灵扣钱	玩家UUID			值				257	0
182	启灵返还	玩家UUID			值				264	0
178	交易返还	玩家UUID			值				1	0
87	系统给与绑钻				账号ID	钻石增量			4	0
127	守护扣除金币	玩家UUID			值				257	0
128	大合成扣除疲劳值	玩家UUID			值				64	0
139	参与活动	玩家UUID			在线时间	任务ID			32	0
140	大合成扣除银币	玩家UUID			值				2	0
183	GM给与首冲奖励领取机会								8	0
184	镶嵌扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
185	洗练扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
186	继承扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
187	打孔扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
188	消孔扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
189	过期自动扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
190	系统扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
191	守护提升扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		264	0
192	挂机扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
193	喇叭扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
194	活动参与活动物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0
195	物品获得守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0
196	启灵获得守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0
197	丢弃守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0
198	契合消耗守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0
199	交易守护	交易方UUID	接收方UUID	守护UUID			模板名称，契合值，星级（百分比），技能数量		256	0
200	摆摊交易守护	交易方UUID	接收方UUID	守护UUID			模板名称，契合值，星级（百分比），技能数量		256	0
201	守护提升契合	玩家UUID	守护UUID	守护模板名称	守护模板ID	守护契合值			256	0
202	守护学习技能	玩家UUID	守护UUID	守护模板名称	守护模板ID	学习技能ID		守护技能数量	256	0
203	守护重生	玩家UUID	守护UUID	守护模板名称	守护模板ID	守护类型（原生，启灵，变异，稀少）		守护星级（百分比）	256	0
204	申请创建公会	公会UUID	申请人UUID						1024	0
205	创建公会成功	公会UUID	会长UUID						1024	0
206	公会删除（长时间没人）								1024	0
207	转移公会会长	公会UUID	老公会会长UUID		是否是GM操作（0否，1是）		新公会会长名字		1024	0
208	公会属性升级	公会UUID			当前升级建筑类型	当前升级建筑等级（升级成功后等级）			1024	0
209	公会维护降低等级	公会UUID			公会等级	公会资金		公会人气值	1024	0
210	公会战结束胜负记录	胜方公会UUID	负方公会UUID						1024	0
211	公会房屋属性开始升级	玩家UUID	房屋NpcUUID		升级的房屋属性类型	当前升级属性类型的等级			1024	0
212	公会房屋属性升级成功	玩家UUID	房屋NpcUUID		升级的房屋属性类型	当前升级属性类型的等级			1024	0
213	通过物品获得坐骑	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0
214	放生坐骑	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0
215	坐骑重生	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0
216	坐骑驯养	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0
217	开服活动奖励物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
218	使用打包物品获得	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
219	运维奖励领取LOG	玩家UUID	礼品Code		uActivityId	1:成功 0:失败	附加信息		8200	0
220	坐骑交易	交易方UUID	接收方UUID	坐骑UUID			模板名称，品质，等级，驯养等级		512	0
221	开服活动邮件奖励	玩家姓名			排行榜PointType	玩家在排行中的排名			8200	0
222	排行榜奖励	玩家姓名	排行榜名称	排行榜标签描述	排行榜PointType	玩家在排行中的排名	'%d,%d,%d,%d' 物品ID		0	0
223	新手事件	玩家UUID				事件参数			0	0
225	通过绑钻在IB商店获取道具	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0
226	绑钻消耗商店	玩家UUID	商品UUID	给予玩家名	粉钻数量	数量	物品模板ID		128	0
