logeventid	logeventdesc	logstr1desc	logstr2desc	logstr3desc	logint64desc	logint32desc	logstr4desc	loguint32desc	logcls	logstate	logeventdetail
48	拍卖行扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
49	求购扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
50	任务扣除物品	玩家UUID	物品UUID		任务ID	数量	'%d,%d,%d,%d' 物品ID		8	0	
51	GM扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
52	打造合成扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
53	修理物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
54	使用物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
55	玩家进入	玩家UUID			经验	金币数量	'%d,%d,%d,%d' 等级 粉钻 星座点 是否防沉迷	历练	8192	0	
56	玩家离开	玩家UUID			经验	金币数量	'%d,%d,%d' 等级 粉钻 星座点	历练	8192	0	
57	接受任务	玩家UUID			上线时间	任务ID			32	0	
58	放弃任务	玩家UUID			上线时间	任务ID			32	0	
59	完成任务	玩家UUID			上线时间	任务ID			32	0	
60	发邮件	玩家UUID					收件人名字		1	0	
61	普通疲劳值改变	玩家UUID			疲劳值增量				64	0	
62	系统刷新疲劳值给予	玩家UUID			疲劳值增量				64	0	
63	任务奖励疲劳值	玩家UUID			疲劳值增量	任务ID			64	0	
64	副本扣除疲劳值	玩家UUID			疲劳值增量	地图ID		难度	64	0	
65	通用添加银币	玩家UUID			银币增量				2	0	
66	GM添加银币	玩家UUID			银币增量				2	0	
67	任务奖励银币	玩家UUID			银币增量				2	0	
68	卖店获得银币	玩家UUID			银币增量				2	0	
69	晶石培养失败返还银币	玩家UUID			银币增量				2	1	
70	求婚失败返还银币	玩家UUID			银币增量				2	0	
71	强化失败返还银币	玩家UUID			银币增量				2	0	
72	反强化获取银币	玩家UUID			银币增量				2	0	
73	拾取银币	玩家UUID			银币增量				2	0	
74	举办婚礼失败返还银币	玩家UUID			银币增量				2	0	
75	通用扣除银币	玩家UUID			银币增量				2	0	
76	修理扣除银币	玩家UUID			银币增量				2	0	
77	任务扣除银币	玩家UUID			银币增量	任务ID			2	0	
78	商店扣除银币	玩家UUID			银币增量				2	0	
79	晶石培养扣除银币	玩家UUID			银币增量				2	0	
80	强化扣除银币	玩家UUID			银币增量				2	0	
81	房屋扣除银币	玩家UUID			银币增量				2	0	
82	结婚扣除金币	玩家UUID			金币消耗				1	0	
83	求婚扣除银币	玩家UUID			银币增量				2	0	
84	GM扣除银币	玩家UUID			银币增量				2	0	
85	玩家竞技场积分改变	玩家UUID			改变增量				8192	0	
99	粉钻预留事件	玩家UUID			粉钻数量				128	0	
102	通用钻石消耗	玩家UUID			钻石数量				4	0	
106	钻石消耗IB商店	玩家UUID	商品UUID	给予玩家名	钻石数量	数量	物品模板ID		4	0	
107	钻石消耗求婚	玩家UUID			钻石数量				4	0	
108	钻石消耗结婚	玩家UUID			钻石数量				4	0	
109	钻石消耗婚礼红包	玩家UUID			钻石数量				4	0	
110	任务奖励声望	玩家UUID			声望值	任务ID			8192	0	
111	统计:获得银币	玩家UUID			值				4096	0	
112	统计:消耗银币	玩家UUID			值				4096	0	
113	统计:获得金币	玩家UUID			值				4096	0	
114	统计:消耗金币	玩家UUID			值				4096	0	
115	统计:获得经验值	玩家UUID			值				4096	0	
116	统计:升级次数	玩家UUID			值				4096	0	
117	统计:声望添加	玩家UUID			值				4096	0	
118	统计:声望消耗	玩家UUID			值				4096	0	
119	疲劳值兑换	玩家UUID			值				64	0	
120	公会创建	公会UUID	会长UUID		值				8192	0	
121	公会解散	公会UUID			值				8192	0	
122	任务获取绑钻	玩家UUID			值				128	0	
123	技能升级技能扣除银币	玩家UUID			值				2	0	
124	技能升级技能扣除金币	玩家UUID			值				1	0	
125	守护扣银币	玩家UUID			值				258	0	
126	副本获取粉钻	玩家UUID			值				128	0	
131	NPC掉落金币	NPC模板（%d）			值				1	0	
132	拾取金币	玩家UUID			值				1	0	
134	任务获取金币	玩家UUID			值	任务ID			1	0	
135	天赋扣除金币	玩家UUID			值				1	0	
136	天赋扣除银币	玩家UUID			值				2	0	
137	副本摇奖扣除金币	玩家UUID			值				1	0	
141	创建公会消耗金币	玩家UUID			值				1	0	
142	更改公会职位名称消耗金币	玩家UUID			值				1	0	
143	公会捐赠金币	玩家UUID			值				1	0	
144	公会捐赠钻石	玩家UUID			值				4	0	
164	卖金	玩家UUID			值				5	0	
165	卖金失败返还	玩家UUID			值				5	0	
145	创建公会失败金币返还	玩家UUID			值				1	0	
146	更改公会职位名称失败金币返还	玩家UUID			值				1	0	
147	公会捐赠金币失败返还	玩家UUID			值				1	0	
148	公会捐赠钻石失败返回	玩家UUID			值				4	0	
149	副本摇奖给予经验	玩家UUID			值	地图ID			16	0	
150	成就给予经验	玩家UUID			值				16	0	
151	成就添加金币	玩家UUID			值				1	0	
152	成就添加银币	玩家UUID			值				2	0	
153	大合成金币扣除	玩家UUID			值				1	0	
154	挂机获取经验	玩家UUID			值				16	0	
155	祝福设置消耗金币	玩家UUID			值				1	0	
156	购买活星座点	玩家UUID			值				1	0	
157	坐骑转生消耗金币	玩家UUID			值				513	0	
158	坐骑驯养消耗金币	玩家UUID			值				513	0	
159	商店扣除玩家物品	玩家UUID	玩家UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
160	坐骑驯养扣除物品	玩家UUID	玩家UUID			数量	'%d,%d,%d,%d' 物品ID		520	0	
161	坐骑转生扣除物品	玩家UUID	玩家UUID			数量	'%d,%d,%d,%d' 物品ID		520	0	
162	通用粉钻获取	玩家UUID			值				128	0	
163	升级有礼物品获取	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
166	充值有礼物品获取	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
167	VIP领取奖励	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
168	为好友充能奖励银币	玩家UUID			值				2	0	
169	敛财奖励粉钻	玩家UUID			值				128	0	
170	随机任务扣钻石	玩家UUID			值				4	0	
171	副本耗用	玩家UUID			值				8256	0	
172	会员奖励	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
173	成就给予	玩家UUID	物品UUID		数量	是否叠加删除	'%d,%d,%d,%d' 		8	0	
174	卖钻石扣税（金币）	玩家UUID			值				1	0	
175	卖钻石失败扣税返还（金币）	玩家UUID			值				5	0	
176	钻石买金币成功	玩家UUID			值		出售者名字		5	0	
177	金币买钻石成功	玩家UUID			值		出售者名字		5	0	
179	金币买钻石	玩家UUID			值				1	0	
180	金币买钻石失败返还	玩家UUID			值				1	0	
181	启灵扣钱	玩家UUID			值				257	0	
182	启灵返还	玩家UUID			值				264	0	
178	交易返还	玩家UUID			值				1	0	
87	系统给与绑钻				账号ID	钻石增量			4	0	
127	守护扣除金币	玩家UUID			值				257	0	
128	大合成扣除疲劳值	玩家UUID			值				64	0	
139	参与活动	玩家UUID			在线时间	任务ID			32	0	
140	大合成扣除银币	玩家UUID			值				2	0	
183	GM给与首冲奖励领取机会								8	0	
184	镶嵌扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
185	洗练扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
186	继承扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
187	打孔扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
188	消孔扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
189	过期自动扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
190	系统扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
191	守护提升扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		264	0	
192	挂机扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
193	喇叭扣除物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
194	活动参与活动物品	玩家UUID	物品UUID			数量	'%d,%d,%d,%d' 物品ID		8	0	
195	物品获得守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0	
196	启灵获得守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0	
197	丢弃守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0	
198	契合消耗守护	玩家UUID	守护UUID	守护模板名称			模板ID，契合值，星级（百分比），技能数量		256	0	
199	交易守护	交易方UUID	接收方UUID	守护UUID			模板名称，契合值，星级（百分比），技能数量		256	0	
200	摆摊交易守护	交易方UUID	接收方UUID	守护UUID			模板名称，契合值，星级（百分比），技能数量		256	0	
201	守护提升契合	玩家UUID	守护UUID	守护模板名称	守护模板ID	守护契合值			256	0	
202	守护学习技能	玩家UUID	守护UUID	守护模板名称	守护模板ID	学习技能ID		守护技能数量	256	0	
203	守护重生	玩家UUID	守护UUID	守护模板名称	守护模板ID	守护类型（原生，启灵，变异，稀少）		守护星级（百分比）	256	0	
204	申请创建公会	公会UUID	申请人UUID						1024	0	
205	创建公会成功	公会UUID	会长UUID						1024	0	
206	公会删除（长时间没人）								1024	0	
207	转移公会会长	公会UUID	老公会会长UUID		是否是GM操作（0否，1是）		新公会会长名字		1024	0	
208	公会属性升级	公会UUID			当前升级建筑类型	当前升级建筑等级（升级成功后等级）			1024	0	
209	公会维护降低等级	公会UUID			公会等级	公会资金		公会人气值	1024	0	
210	公会战结束胜负记录	胜方公会UUID	负方公会UUID						1024	0	
211	公会房屋属性开始升级	玩家UUID	房屋NpcUUID		升级的房屋属性类型	当前升级属性类型的等级			1024	0	
212	公会房屋属性升级成功	玩家UUID	房屋NpcUUID		升级的房屋属性类型	当前升级属性类型的等级			1024	0	
213	通过物品获得坐骑	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0	
214	放生坐骑	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0	
215	坐骑重生	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0	
216	坐骑驯养	玩家UUID	坐骑UUID	坐骑模板名称			模板ID，品质，等级，驯养等级		512	0	
217	开服活动奖励物品	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
218	使用打包物品获得	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
219	运维奖励领取LOG	玩家UUID	礼品Code		uActivityId	1:成功 0:失败	附加信息		8200	0	
220	坐骑交易	交易方UUID	接收方UUID	坐骑UUID			模板名称，品质，等级，驯养等级		512	0	
221	开服活动邮件奖励	玩家姓名			排行榜PointType	玩家在排行中的排名			8200	0	
222	排行榜奖励	玩家姓名	排行榜名称	排行榜标签描述	排行榜PointType	玩家在排行中的排名	'%d,%d,%d,%d' 物品ID		8	0	
223	新手事件	玩家UUID				事件参数			8192	0	
225	通过粉钻在IB商店获取道具	玩家UUID	物品UUID	'%d' 数量		是否叠加删除	'%d,%d,%d,%d' 物品ID		8	0	
226	粉钻消耗商店	玩家UUID	商品UUID	给予玩家名	粉钻数量	数量	物品模板ID		128	0	
229	离线挂机获取经验	玩家UUID			值				16	0	
230	技能升级耗用星座点	玩家UUID				耗用值			8192	0	
231	星座铭刻金币扣除	玩家UUID			金币数量				1	0	
232	星座铭刻经验扣除	玩家UUID				消耗经验值			16	0	
233	星座铭刻星座点扣除	玩家UUID				消耗星座点			8192	0	
234	清空冷却时间消耗钻石	玩家UUID	清空项名称		钻石消耗数量				4	0	
235	[360]炼金获得金币	玩家UUID			获得金币数量				1	0	
236	[360]炼金消耗钻石	玩家UUID			消耗钻石数量				4	0	
237	装备强化成功	玩家UUID			强化石等级	强化石数量			8	0	
238	公会资金改变								1024	0	
239	建设公会建筑	玩家UUID			花费金币数量	消耗繁荣度		消耗人气值	1024	0	
240	取消建设公会建筑	玩家UUID							1024	0	
241	研究公会技能	玩家UUID			公会技能ID				1024	0	
242	取消研究公会技能	玩家UUID							1024	0	
243	公会职位改变	玩家UUID			原职位枚举	现职位枚举	职位变动的玩家名		1024	0	
244	公会会长改变	玩家UUID					新会长姓名		1024	0	
245	红包金币扣除	玩家UUID			金币数量				1	0	
246	红包物品扣除	玩家UUID	物品UUID	接收人姓名					8	0	
247	运营修改强化等级对应的下限百分比				增加的百分比	现在百分比			8192	0	
248	运营修改附加属性值域的下限百分比				增加的百分比	现在百分比			8192	0	
249	直接升级特殊操作								0	0	
250	IB直接扣除	玩家UUID			扣除IB类型				0	0	
251	探宝扣除钻石	玩家UUID			探宝区域类型				0	0	
252	购买斗兽场挑战次数扣除钻石	玩家UUID			当前买的次数				0	0	
253	公会战报名消耗公会资金	公会UUID	公会名称		报名资金（负数为返还资金）				0	0	
254	结婚相关记录	玩家1UUID	玩家2UUID		婚礼方式				8192	0	
255	强制完成任务扣除金币								0	0	
256	强制完成任务扣除钻石								0	0	
257	副本扫荡消耗金币								0	0	
258	副本扫荡消耗钻石								0	0	
259	强制完成副本扫荡消耗钻石								0	0	
260	副本扫荡获得物品								0	0	
261	清除房屋升级冷却时间消耗钻石								0	0	
262	领取离线经验消耗钻石								0	0	
263	活动奖励找回钻石消耗								0	0	
264	活动找回金币								0	0	
265	装备一键强化成功	玩家UUID			强化到的等级		装备名称		0	0	
266	活动经验找回扣除金币								0	0	
267	一键强化钻石消耗								0	0	
268	开启打包物品								0	0	
269	充值排行奖励物品								0	0	
270	充值排行榜奖励粉钻								0	0	
271	活动奖励物品钻石消耗								0	0	
272	节日活动奖励物品								0	0	
273	玩家爱情精华总消耗	玩家UUID			当前消耗数				0	0	
274	物品等价替换消耗钻石								0	0	
275	钻石换粉钻消耗钻石								0	0	
276	道具一返十消耗道具数量	玩家UUID			使用物品数量	返利倍数	物品名称		0	0	
277	守护学习技能锁定技能								0	0	
278	运营修改洗练条目出现概率				输入增量概率	最终概率		品质（绿色为0，依次递增）	0	0	
279	装备解绑消耗物品								0	0	
280	物品等价消耗								0	0	
281	节日活动通用探宝消耗物品								0	0	
282	强化装备消耗物品								0	0	
283	星座铭刻消耗物品								0	0	
284	副本扫荡消耗物品								0	0	
285	快速完成副本扫荡消耗物品								0	0	
286	福利屋消耗物品				值				0	0	
287	售出神力获得银币	玩家UUID			值				0	0	
288	祭祀神力NPC消耗银币	玩家UUID			值				0	0	
289	炼金获得银币	玩家UUID			值				0	0	
290	强化等级大于等于15级的日志	账号	角色名		强化等级大于等于15的装备数量				0	0	
291	获取最高等级神力日志	玩家UUID			神力模板ID	获取方式（1=祭祀获得，2=购买获得，3=BUFF添加）			0	0	
292	删除最高等级神力日志	玩家UUID			神力模板ID	删除方式（1=售出，2=被吞噬，3=扔除）			0	0	
293	吞噬最高等级神力日志	玩家UUID			被吞噬神力模板ID	被吞噬神力经验			0	0	
294	争霸赛献花钻石扣除	玩家UUID			值				0	0	
295	争霸赛砸蛋钻石扣除	玩家UUID			值				0	0	
296	争霸赛下注钻石扣除	玩家UUID			值				0	0	
297	争霸赛观看比赛钻石扣除	玩家UUID			值				0	0	
298	争霸赛观看比赛金币扣除	玩家UUID			值				0	0	
299	争霸赛下注银币扣除	玩家UUID			值				0	0	
300	争霸赛下注成功log								0	0	
301	争霸赛领取下注奖励成功								0	0	
302	争霸赛操作排行榜玩家奖励								0	0	
303	争霸赛决赛玩家发奖励								0	0	
304	争霸赛决赛设置胜利分组								0	0	
305	争霸赛玩家抽签成功								0	0	
306	争霸赛决赛新一轮对战列表								0	0	
307	GM改变玩家对战信息								0	0	
308	争霸赛决赛玩家战斗力日志								0	0	
309	争霸赛领取下注粉钻奖励								0	0	
310	争霸赛领取下注银币奖励								0	0	
